Module                              | Self CPU time | CPU time  | Self CUDA time | CUDA time | CPU Mem | CUDA Mem  | FLOPs        | Parameters | Calls
------------------------------------|---------------|-----------|----------------|-----------|---------|-----------|--------------|------------|------
MobileNetV3                         |               |           |                |           |         |           |              |            |      
   ├── features                     |               |           |                |           |         |           |              |            |      
   │  ├── 0                         |               |           |                |           |         |           |              |            |      
   │  │  ├── 0                      | 1.278ms       | 5.587ms   | 737.088us      | 2.457ms   | 0 b     | 98.00 Mb  | 346.82MFLOPs | 432.00     | 1    
   │  │  ├── 1                      | 1.155ms       | 4.297ms   | 302.397us      | 806.392us | 0 b     | 122.50 Mb | 0 FLOPs      | 32.00      | 1    
   │  │  └── 2                      | 999.400us     | 1.913ms   | 199.962us      | 266.616us | 0 b     | 0 b       | 0 FLOPs      | 0          | 1    
   │  ├── 1                         |               |           |                |           |         |           |              |            |      
   │  │  └── block                  |               |           |                |           |         |           |              |            |      
   │  │  │  ├── 0                   |               |           |                |           |         |           |              |            |      
   │  │  │  │  ├── 0                | 1.674ms       | 6.840ms   | 1.089ms        | 3.630ms   | 0 b     | 122.50 Mb | 115.61MFLOPs | 144.00     | 1    
   │  │  │  │  ├── 1                | 1.437ms       | 5.438ms   | 305.187us      | 813.832us | 0 b     | 122.50 Mb | 0 FLOPs      | 32.00      | 1    
   │  │  │  │  └── 2                | 1.312ms       | 3.798ms   | 181.341us      | 362.682us | 0 b     | 0 b       | 0 FLOPs      | 0          | 1    
   │  │  │  └── 1                   |               |           |                |           |         |           |              |            |      
   │  │  │  │  ├── 0                | 1.427ms       | 6.456ms   | 522.831us      | 1.743ms   | 0 b     | 98.00 Mb  | 205.52MFLOPs | 256.00     | 1    
   │  │  │  │  └── 1                | 1.354ms       | 5.109ms   | 304.701us      | 812.536us | 0 b     | 122.50 Mb | 0 FLOPs      | 32.00      | 1    
   │  ├── 2                         |               |           |                |           |         |           |              |            |      
   │  │  └── block                  |               |           |                |           |         |           |              |            |      
   │  │  │  ├── 0                   |               |           |                |           |         |           |              |            |      
   │  │  │  │  ├── 0                | 1.534ms       | 6.455ms   | 879.162us      | 2.931ms   | 0 b     | 392.00 Mb | 822.08MFLOPs | 1.02K      | 1    
   │  │  │  │  ├── 1                | 1.667ms       | 5.444ms   | 1.255ms        | 3.346ms   | 0 b     | 490.00 Mb | 0 FLOPs      | 128.00     | 1    
   │  │  │  │  └── 2                | 1.699ms       | 4.245ms   | 1.258ms        | 2.517ms   | 0 b     | 0 b       | 0 FLOPs      | 0          | 1    
   │  │  │  ├── 1                   |               |           |                |           |         |           |              |            |      
   │  │  │  │  ├── 0                | 1.601ms       | 6.346ms   | 1.244ms        | 4.147ms   | 0 b     | 122.50 Mb | 115.61MFLOPs | 576.00     | 1    
   │  │  │  │  ├── 1                | 1.296ms       | 4.889ms   | 290.775us      | 775.400us | 0 b     | 122.50 Mb | 0 FLOPs      | 128.00     | 1    
   │  │  │  │  └── 2                | 1.125ms       | 3.242ms   | 181.821us      | 363.642us | 0 b     | 0 b       | 0 FLOPs      | 0          | 1    
   │  │  │  └── 2                   |               |           |                |           |         |           |              |            |      
