Module                              | Self CPU time | CPU time  | Self CUDA time | CUDA time | CPU Mem | CUDA Mem  | FLOPs        | Parameters | Calls
   │  │  │  │  ├── avgpool          | 1.218ms       | 3.582ms   | 14.496us       | 28.992us  | 0 b     | 1.00 Kb   | 0 FLOPs      | 0          | 1    
   │  │  │  │  ├── fc1              | 1.190ms       | 5.650ms   | 11.235us       | 35.690us  | 0 b     | 2.00 Kb   | 3.46KFLOPs   | 1.75K      | 1    
   │  │  │  │  ├── fc2              | 1.084ms       | 5.211ms   | 11.328us       | 35.520us  | 0 b     | 2.00 Kb   | 3.46KFLOPs   | 1.80K      | 1    
   │  │  │  │  ├── activation       | 970.400us     | 2.848ms   | 4.989us        | 9.978us   | 0 b     | 1.00 Kb   | 0 FLOPs      | 0          | 1    
   │  │  │  │  └── scale_activation | 972.900us     | 1.913ms   | 5.280us        | 7.040us   | 0 b     | 512.00 b  | 0 FLOPs      | 0          | 1    
   │  │  │  └── 3                   |               |           |                |           |         |           |              |            |      
   │  │  │  │  ├── 0                | 1.007ms       | 4.940ms   | 24.288us       | 80.960us  | 0 b     | 490.00 Kb | 4.52MFLOPs   | 2.88K      | 1    
   │  │  │  │  └── 1                | 1.137ms       | 4.479ms   | 7.968us        | 21.248us  | 0 b     | 612.50 Kb | 0 FLOPs      | 80.00      | 1    
   │  ├── 5                         |               |           |                |           |         |           |              |            |      
   │  │  └── block                  |               |           |                |           |         |           |              |            |      
   │  │  │  ├── 0                   |               |           |                |           |         |           |              |            |      
   │  │  │  │  ├── 0                | 1.097ms       | 5.293ms   | 20.928us       | 69.760us  | 0 b     | 1.44 Mb   | 7.53MFLOPs   | 4.80K      | 1    
   │  │  │  │  ├── 1                | 1.071ms       | 4.225ms   | 8.352us        | 22.272us  | 0 b     | 1.79 Mb   | 0 FLOPs      | 240.00     | 1    
   │  │  │  │  └── 2                | 993.300us     | 2.928ms   | 6.144us        | 12.288us  | 0 b     | 0 b       | 0 FLOPs      | 0          | 1    
   │  │  │  ├── 1                   |               |           |                |           |         |           |              |            |      
   │  │  │  │  ├── 0                | 1.042ms       | 5.127ms   | 26.112us       | 87.040us  | 0 b     | 1.79 Mb   | 4.70MFLOPs   | 3.00K      | 1    
   │  │  │  │  ├── 1                | 1.186ms       | 4.684ms   | 8.544us        | 22.784us  | 0 b     | 1.79 Mb   | 0 FLOPs      | 240.00     | 1    
   │  │  │  │  └── 2                | 968.100us     | 2.857ms   | 5.952us        | 11.904us  | 0 b     | 0 b       | 0 FLOPs      | 0          | 1    
   │  │  │  ├── 2                   |               |           |                |           |         |           |              |            |      
   │  │  │  │  ├── avgpool          | 1.061ms       | 3.125ms   | 14.496us       | 28.992us  | 0 b     | 1.00 Kb   | 0 FLOPs      | 0          | 1    
   │  │  │  │  ├── fc1              | 1.061ms       | 5.073ms   | 13.693us       | 43.350us  | 0 b     | 2.00 Kb   | 7.68KFLOPs   | 3.87K      | 1    
   │  │  │  │  ├── fc2              | 1.081ms       | 5.197ms   | 11.264us       | 35.360us  | 0 b     | 2.00 Kb   | 7.68KFLOPs   | 3.96K      | 1    
   │  │  │  │  ├── activation       | 981.200us     | 2.892ms   | 5.088us        | 10.176us  | 0 b     | 1.00 Kb   | 0 FLOPs      | 0          | 1    
   │  │  │  │  └── scale_activation | 988.100us     | 1.944ms   | 5.088us        | 6.784us   | 0 b     | 512.00 b  | 0 FLOPs      | 0          | 1    
   │  │  │  └── 3                   |               |           |                |           |         |           |              |            |      
   │  │  │  │  ├── 0                | 1.074ms       | 5.179ms   | 33.216us       | 110.720us | 0 b     | 490.00 Kb | 7.53MFLOPs   | 4.80K      | 1    
   │  │  │  │  └── 1                | 1.137ms       | 4.481ms   | 7.968us        | 21.248us  | 0 b     | 612.50 Kb | 0 FLOPs      | 80.00      | 1    
   │  ├── 6                         |               |           |                |           |         |           |              |            |      
   │  │  └── block                  |               |           |                |           |         |           |              |            |      
   │  │  │  ├── 0                   |               |           |                |           |         |           |              |            |      
   │  │  │  │  ├── 0                | 1.061ms       | 5.191ms   | 20.931us       | 69.770us  | 0 b     | 1.44 Mb   | 7.53MFLOPs   | 4.80K      | 1    
   │  │  │  │  ├── 1                | 1.042ms       | 4.107ms   | 8.640us        | 23.040us  | 0 b     | 1.79 Mb   | 0 FLOPs      | 240.00     | 1    
   │  │  │  │  └── 2                | 1.125ms       | 3.313ms   | 6.336us        | 12.672us  | 0 b     | 0 b       | 0 FLOPs      | 0          | 1    
   │  │  │  ├── 1                   |               |           |                |           |         |           |              |            |      
   │  │  │  │  ├── 0                | 1.026ms       | 5.025ms   | 26.112us       | 87.040us  | 0 b     | 1.79 Mb   | 4.70MFLOPs   | 3.00K      | 1    
   │  │  │  │  ├── 1                | 1.115ms       | 4.386ms   | 8.451us        | 22.536us  | 0 b     | 1.79 Mb   | 0 FLOPs      | 240.00     | 1    
   │  │  │  │  └── 2                | 1.056ms       | 3.116ms   | 5.856us        | 11.712us  | 0 b     | 0 b       | 0 FLOPs      | 0          | 1    
   │  │  │  ├── 2                   |               |           |                |           |         |           |              |            |      
