Module                              | Self CPU time | CPU time  | Self CUDA time | CUDA time | CPU Mem   | CUDA Mem | FLOPs        | Parameters | Calls
------------------------------------|---------------|-----------|----------------|-----------|-----------|----------|--------------|------------|------
MobileNetV3                         |               |           |                |           |           |          |              |            |      
   ├── features                     |               |           |                |           |           |          |              |            |      
   │  ├── 0                         |               |           |                |           |           |          |              |            |      
   │  │  ├── 0                      | 709.500us     | 2.793ms   | 0.000ns        | 0.000ns   | 10.00 Mb  | 0 b      | 28.31MFLOPs  | 432.00     | 1    
   │  │  ├── 1                      | 263.900us     | 784.450us | 0.000ns        | 0.000ns   | 10.00 Mb  | 0 b      | 0 FLOPs      | 32.00      | 1    
   │  │  └── 2                      | 203.200us     | 203.200us | 0.000ns        | 0.000ns   | 0 b       | 0 b      | 0 FLOPs      | 0          | 1    
   │  ├── 1                         |               |           |                |           |           |          |              |            |      
   │  │  └── block                  |               |           |                |           |           |          |              |            |      
   │  │  │  ├── 0                   |               |           |                |           |           |          |              |            |      
   │  │  │  │  ├── 0                | 1.324ms       | 5.265ms   | 0.000ns        | 0.000ns   | 10.00 Mb  | 0 b      | 9.44MFLOPs   | 144.00     | 1    
   │  │  │  │  ├── 1                | 246.800us     | 727.083us | 0.000ns        | 0.000ns   | 10.00 Mb  | 0 b      | 0 FLOPs      | 32.00      | 1    
   │  │  │  │  └── 2                | 261.500us     | 511.100us | 0.000ns        | 0.000ns   | 0 b       | 0 b      | 0 FLOPs      | 0          | 1    
   │  │  │  └── 1                   |               |           |                |           |           |          |              |            |      
   │  │  │  │  ├── 0                | 1.391ms       | 5.532ms   | 0.000ns        | 0.000ns   | 10.00 Mb  | 0 b      | 16.78MFLOPs  | 256.00     | 1    
   │  │  │  │  └── 1                | 155.000us     | 456.467us | 0.000ns        | 0.000ns   | 10.00 Mb  | 0 b      | 0 FLOPs      | 32.00      | 1    
   │  ├── 2                         |               |           |                |           |           |          |              |            |      
   │  │  └── block                  |               |           |                |           |           |          |              |            |      
   │  │  │  ├── 0                   |               |           |                |           |           |          |              |            |      
   │  │  │  │  ├── 0                | 744.600us     | 2.953ms   | 0.000ns        | 0.000ns   | 40.00 Mb  | 0 b      | 67.11MFLOPs  | 1.02K      | 1    
   │  │  │  │  ├── 1                | 350.100us     | 1.047ms   | 0.000ns        | 0.000ns   | 40.00 Mb  | 0 b      | 0 FLOPs      | 128.00     | 1    
   │  │  │  │  └── 2                | 133.200us     | 259.100us | 0.000ns        | 0.000ns   | 0 b       | 0 b      | 0 FLOPs      | 0          | 1    
   │  │  │  ├── 1                   |               |           |                |           |           |          |              |            |      
   │  │  │  │  ├── 0                | 1.304ms       | 5.189ms   | 0.000ns        | 0.000ns   | 10.00 Mb  | 0 b      | 9.44MFLOPs   | 576.00     | 1    
   │  │  │  │  ├── 1                | 141.800us     | 414.983us | 0.000ns        | 0.000ns   | 10.00 Mb  | 0 b      | 0 FLOPs      | 128.00     | 1    
   │  │  │  │  └── 2                | 118.200us     | 225.600us | 0.000ns        | 0.000ns   | 0 b       | 0 b      | 0 FLOPs      | 0          | 1    
   │  │  │  └── 2                   |               |           |                |           |           |          |              |            |      
