Module                              | Self CPU time | CPU time  | Self CUDA time | CUDA time | CPU Mem   | CUDA Mem | FLOPs        | Parameters | Calls
------------------------------------|---------------|-----------|----------------|-----------|-----------|----------|--------------|------------|------
MobileNetV3                         |               |           |                |           |           |          |              |            |      
   ├── features                     |               |           |                |           |           |          |              |            |      
   │  ├── 0                         |               |           |                |           |           |          |              |            |      
   │  │  ├── 0                      | 393.000us     | 1.524ms   | 0.000ns        | 0.000ns   | 3.83 Mb   | 0 b      | 10.84MFLOPs  | 432.00     | 1    
   │  │  ├── 1                      | 148.800us     | 432.083us | 0.000ns        | 0.000ns   | 3.83 Mb   | 0 b      | 0 FLOPs      | 32.00      | 1    
   │  │  └── 2                      | 198.300us     | 198.300us | 0.000ns        | 0.000ns   | 0 b       | 0 b      | 0 FLOPs      | 0          | 1    
   │  ├── 1                         |               |           |                |           |           |          |              |            |      
   │  │  └── block                  |               |           |                |           |           |          |              |            |      
   │  │  │  ├── 0                   |               |           |                |           |           |          |              |            |      
   │  │  │  │  ├── 0                | 500.800us     | 1.971ms   | 0.000ns        | 0.000ns   | 3.83 Mb   | 0 b      | 3.61MFLOPs   | 144.00     | 1    
   │  │  │  │  ├── 1                | 222.700us     | 657.900us | 0.000ns        | 0.000ns   | 3.83 Mb   | 0 b      | 0 FLOPs      | 32.00      | 1    
   │  │  │  │  └── 2                | 101.400us     | 190.300us | 0.000ns        | 0.000ns   | 0 b       | 0 b      | 0 FLOPs      | 0          | 1    
   │  │  │  └── 1                   |               |           |                |           |           |          |              |            |      
   │  │  │  │  ├── 0                | 541.400us     | 2.140ms   | 0.000ns        | 0.000ns   | 3.83 Mb   | 0 b      | 6.42MFLOPs   | 256.00     | 1    
   │  │  │  │  └── 1                | 107.700us     | 310.200us | 0.000ns        | 0.000ns   | 3.83 Mb   | 0 b      | 0 FLOPs      | 32.00      | 1    
   │  ├── 2                         |               |           |                |           |           |          |              |            |      
   │  │  └── block                  |               |           |                |           |           |          |              |            |      
   │  │  │  ├── 0                   |               |           |                |           |           |          |              |            |      
   │  │  │  │  ├── 0                | 1.069ms       | 4.249ms   | 0.000ns        | 0.000ns   | 15.31 Mb  | 0 b      | 25.69MFLOPs  | 1.02K      | 1    
   │  │  │  │  ├── 1                | 301.300us     | 891.833us | 0.000ns        | 0.000ns   | 15.31 Mb  | 0 b      | 0 FLOPs      | 128.00     | 1    
   │  │  │  │  └── 2                | 242.500us     | 475.700us | 0.000ns        | 0.000ns   | 0 b       | 0 b      | 0 FLOPs      | 0          | 1    
   │  │  │  ├── 1                   |               |           |                |           |           |          |              |            |      
   │  │  │  │  ├── 0                | 541.900us     | 2.140ms   | 0.000ns        | 0.000ns   | 3.83 Mb   | 0 b      | 3.61MFLOPs   | 576.00     | 1    
   │  │  │  │  ├── 1                | 119.200us     | 346.317us | 0.000ns        | 0.000ns   | 3.83 Mb   | 0 b      | 0 FLOPs      | 128.00     | 1    
   │  │  │  │  └── 2                | 86.900us      | 162.200us | 0.000ns        | 0.000ns   | 0 b       | 0 b      | 0 FLOPs      | 0          | 1    
   │  │  │  └── 2                   |               |           |                |           |           |          |              |            |      
