Module                              | Self CPU time | CPU time  | Self CUDA time | CUDA time | CPU Mem   | CUDA Mem | FLOPs        | Parameters | Calls
------------------------------------|---------------|-----------|----------------|-----------|-----------|----------|--------------|------------|------
MobileNetV3                         |               |           |                |           |           |          |              |            |      
   ├── features                     |               |           |                |           |           |          |              |            |      
   │  ├── 0                         |               |           |                |           |           |          |              |            |      
   │  │  ├── 0                      | 699.700us     | 2.762ms   | 0.000ns        | 0.000ns   | 2.50 Mb   | 0 b      | 7.08MFLOPs   | 432.00     | 1    
   │  │  ├── 1                      | 153.700us     | 431.350us | 0.000ns        | 0.000ns   | 2.50 Mb   | 0 b      | 0 FLOPs      | 32.00      | 1    
   │  │  └── 2                      | 109.800us     | 109.800us | 0.000ns        | 0.000ns   | 0 b       | 0 b      | 0 FLOPs      | 0          | 1    
   │  ├── 1                         |               |           |                |           |           |          |              |            |      
   │  │  └── block                  |               |           |                |           |           |          |              |            |      
   │  │  │  ├── 0                   |               |           |                |           |           |          |              |            |      
   │  │  │  │  ├── 0                | 566.900us     | 2.237ms   | 0.000ns        | 0.000ns   | 2.50 Mb   | 0 b      | 2.36MFLOPs   | 144.00     | 1    
   │  │  │  │  ├── 1                | 117.300us     | 337.383us | 0.000ns        | 0.000ns   | 2.50 Mb   | 0 b      | 0 FLOPs      | 32.00      | 1    
   │  │  │  │  └── 2                | 267.600us     | 517.900us | 0.000ns        | 0.000ns   | 0 b       | 0 b      | 0 FLOPs      | 0          | 1    
   │  │  │  └── 1                   |               |           |                |           |           |          |              |            |      
   │  │  │  │  ├── 0                | 484.900us     | 1.919ms   | 0.000ns        | 0.000ns   | 2.50 Mb   | 0 b      | 4.19MFLOPs   | 256.00     | 1    
   │  │  │  │  └── 1                | 98.500us      | 285.700us | 0.000ns        | 0.000ns   | 2.50 Mb   | 0 b      | 0 FLOPs      | 32.00      | 1    
   │  ├── 2                         |               |           |                |           |           |          |              |            |      
   │  │  └── block                  |               |           |                |           |           |          |              |            |      
   │  │  │  ├── 0                   |               |           |                |           |           |          |              |            |      
   │  │  │  │  ├── 0                | 968.500us     | 3.852ms   | 0.000ns        | 0.000ns   | 10.00 Mb  | 0 b      | 16.78MFLOPs  | 1.02K      | 1    
   │  │  │  │  ├── 1                | 260.500us     | 772.600us | 0.000ns        | 0.000ns   | 10.00 Mb  | 0 b      | 0 FLOPs      | 128.00     | 1    
   │  │  │  │  └── 2                | 95.300us      | 182.100us | 0.000ns        | 0.000ns   | 0 b       | 0 b      | 0 FLOPs      | 0          | 1    
   │  │  │  ├── 1                   |               |           |                |           |           |          |              |            |      
   │  │  │  │  ├── 0                | 676.600us     | 2.687ms   | 0.000ns        | 0.000ns   | 2.50 Mb   | 0 b      | 2.36MFLOPs   | 576.00     | 1    
   │  │  │  │  ├── 1                | 98.400us      | 290.417us | 0.000ns        | 0.000ns   | 2.50 Mb   | 0 b      | 0 FLOPs      | 128.00     | 1    
   │  │  │  │  └── 2                | 530.800us     | 1.051ms   | 0.000ns        | 0.000ns   | 0 b       | 0 b      | 0 FLOPs      | 0          | 1    
   │  │  │  └── 2                   |               |           |                |           |           |          |              |            |      
