Module                              | Self CPU time | CPU time  | Self CUDA time | CUDA time | CPU Mem | CUDA Mem  | FLOPs        | Parameters | Calls
------------------------------------|---------------|-----------|----------------|-----------|---------|-----------|--------------|------------|------
MobileNetV3                         |               |           |                |           |         |           |              |            |      
   ├── features                     |               |           |                |           |         |           |              |            |      
   │  ├── 0                         |               |           |                |           |         |           |              |            |      
   │  │  ├── 0                      | 1.140ms       | 5.240ms   | 71.625us       | 238.750us | 0 b     | 8.00 Mb   | 28.31MFLOPs  | 432.00     | 1    
   │  │  ├── 1                      | 1.185ms       | 4.447ms   | 23.328us       | 62.208us  | 0 b     | 10.00 Mb  | 0 FLOPs      | 32.00      | 1    
   │  │  └── 2                      | 1.136ms       | 2.167ms   | 13.725us       | 18.300us  | 0 b     | 0 b       | 0 FLOPs      | 0          | 1    
   │  ├── 1                         |               |           |                |           |         |           |              |            |      
   │  │  └── block                  |               |           |                |           |         |           |              |            |      
   │  │  │  ├── 0                   |               |           |                |           |         |           |              |            |      
   │  │  │  │  ├── 0                | 1.606ms       | 7.506ms   | 96.765us       | 322.550us | 0 b     | 10.00 Mb  | 9.44MFLOPs   | 144.00     | 1    
   │  │  │  │  ├── 1                | 1.487ms       | 5.643ms   | 23.133us       | 61.688us  | 0 b     | 10.00 Mb  | 0 FLOPs      | 32.00      | 1    
   │  │  │  │  └── 2                | 1.899ms       | 5.506ms   | 13.725us       | 27.450us  | 0 b     | 0 b       | 0 FLOPs      | 0          | 1    
   │  │  │  └── 1                   |               |           |                |           |         |           |              |            |      
   │  │  │  │  ├── 0                | 1.298ms       | 6.330ms   | 54.540us       | 181.800us | 0 b     | 8.00 Mb   | 16.78MFLOPs  | 256.00     | 1    
   │  │  │  │  └── 1                | 1.246ms       | 4.662ms   | 23.424us       | 62.464us  | 0 b     | 10.00 Mb  | 0 FLOPs      | 32.00      | 1    
   │  ├── 2                         |               |           |                |           |         |           |              |            |      
   │  │  └── block                  |               |           |                |           |         |           |              |            |      
   │  │  │  ├── 0                   |               |           |                |           |         |           |              |            |      
   │  │  │  │  ├── 0                | 1.421ms       | 6.906ms   | 74.229us       | 247.430us | 0 b     | 32.00 Mb  | 67.11MFLOPs  | 1.02K      | 1    
   │  │  │  │  ├── 1                | 1.244ms       | 4.649ms   | 81.309us       | 216.824us | 0 b     | 40.00 Mb  | 0 FLOPs      | 128.00     | 1    
   │  │  │  │  └── 2                | 1.273ms       | 3.584ms   | 40.992us       | 81.984us  | 0 b     | 0 b       | 0 FLOPs      | 0          | 1    
   │  │  │  ├── 1                   |               |           |                |           |         |           |              |            |      
   │  │  │  │  ├── 0                | 1.628ms       | 7.587ms   | 99.648us       | 332.160us | 0 b     | 10.00 Mb  | 9.44MFLOPs   | 576.00     | 1    
   │  │  │  │  ├── 1                | 1.699ms       | 6.517ms   | 21.024us       | 56.064us  | 0 b     | 10.00 Mb  | 0 FLOPs      | 128.00     | 1    
   │  │  │  │  └── 2                | 1.254ms       | 3.697ms   | 14.016us       | 28.032us  | 0 b     | 0 b       | 0 FLOPs      | 0          | 1    
   │  │  │  └── 2                   |               |           |                |           |         |           |              |            |      
