Module                              | Self CPU time | CPU time  | Self CUDA time | CUDA time | CPU Mem | CUDA Mem  | FLOPs        | Parameters | Calls
------------------------------------|---------------|-----------|----------------|-----------|---------|-----------|--------------|------------|------
MobileNetV3                         |               |           |                |           |         |           |              |            |      
   ├── features                     |               |           |                |           |         |           |              |            |      
   │  ├── 0                         |               |           |                |           |         |           |              |            |      
   │  │  ├── 0                      | 987.500us     | 4.759ms   | 27.552us       | 91.840us  | 0 b     | 2.00 Mb   | 7.08MFLOPs   | 432.00     | 1    
   │  │  ├── 1                      | 970.200us     | 3.789ms   | 10.176us       | 27.136us  | 0 b     | 2.50 Mb   | 0 FLOPs      | 32.00      | 1    
   │  │  └── 2                      | 838.700us     | 1.648ms   | 7.488us        | 9.984us   | 0 b     | 0 b       | 0 FLOPs      | 0          | 1    
   │  ├── 1                         |               |           |                |           |         |           |              |            |      
   │  │  └── block                  |               |           |                |           |         |           |              |            |      
   │  │  │  ├── 0                   |               |           |                |           |         |           |              |            |      
   │  │  │  │  ├── 0                | 1.133ms       | 5.559ms   | 27.168us       | 90.560us  | 0 b     | 2.50 Mb   | 2.36MFLOPs   | 144.00     | 1    
   │  │  │  │  ├── 1                | 1.178ms       | 4.636ms   | 10.272us       | 27.392us  | 0 b     | 2.50 Mb   | 0 FLOPs      | 32.00      | 1    
   │  │  │  │  └── 2                | 1.071ms       | 3.143ms   | 7.296us        | 14.592us  | 0 b     | 0 b       | 0 FLOPs      | 0          | 1    
   │  │  │  └── 1                   |               |           |                |           |         |           |              |            |      
   │  │  │  │  ├── 0                | 1.071ms       | 5.241ms   | 20.928us       | 69.760us  | 0 b     | 2.00 Mb   | 4.19MFLOPs   | 256.00     | 1    
   │  │  │  │  └── 1                | 1.073ms       | 4.229ms   | 9.504us        | 25.344us  | 0 b     | 2.50 Mb   | 0 FLOPs      | 32.00      | 1    
   │  ├── 2                         |               |           |                |           |         |           |              |            |      
   │  │  └── block                  |               |           |                |           |         |           |              |            |      
   │  │  │  ├── 0                   |               |           |                |           |         |           |              |            |      
   │  │  │  │  ├── 0                | 1.022ms       | 4.961ms   | 24.096us       | 80.320us  | 0 b     | 9.22 Mb   | 16.78MFLOPs  | 1.02K      | 1    
   │  │  │  │  ├── 1                | 1.106ms       | 4.359ms   | 23.235us       | 61.960us  | 0 b     | 10.00 Mb  | 0 FLOPs      | 128.00     | 1    
   │  │  │  │  └── 2                | 1.041ms       | 3.066ms   | 14.112us       | 28.224us  | 0 b     | 0 b       | 0 FLOPs      | 0          | 1    
   │  │  │  ├── 1                   |               |           |                |           |         |           |              |            |      
   │  │  │  │  ├── 0                | 1.072ms       | 5.270ms   | 28.896us       | 96.320us  | 0 b     | 2.50 Mb   | 2.36MFLOPs   | 576.00     | 1    
   │  │  │  │  ├── 1                | 1.079ms       | 4.245ms   | 9.024us        | 24.064us  | 0 b     | 2.50 Mb   | 0 FLOPs      | 128.00     | 1    
   │  │  │  │  └── 2                | 1.088ms       | 3.217ms   | 6.720us        | 13.440us  | 0 b     | 0 b       | 0 FLOPs      | 0          | 1    
   │  │  │  └── 2                   |               |           |                |           |         |           |              |            |      
