Module                  | Self CPU time | CPU time | Self CUDA time | CUDA time | CPU Mem | CUDA Mem  | FLOPs        | Parameters | Calls
------------------------|---------------|----------|----------------|-----------|---------|-----------|--------------|------------|------
ResNet                  |               |          |                |           |         |           |              |            |      
   ├── conv1            | 1.997ms       | 6.468ms  | 2.786ms        | 9.287ms   | 0 b     | 392.00 Mb | 7.55GFLOPs   | 9.41K      | 1    
   ├── bn1              | 1.411ms       | 4.539ms  | 1.088ms        | 2.901ms   | 0 b     | 490.00 Mb | 0 FLOPs      | 128.00     | 1    
   ├── relu             | 1.356ms       | 3.326ms  | 1.048ms        | 2.095ms   | 0 b     | 0 b       | 0 FLOPs      | 0          | 1    
   ├── maxpool          | 1.634ms       | 4.241ms  | 926.310us      | 1.853ms   | 0 b     | 98.00 Mb  | 0 FLOPs      | 0          | 1    
   ├── layer1           |               |          |                |           |         |           |              |            |      
   │  ├── 0             |               |          |                |           |         |           |              |            |      
   │  │  ├── conv1      | 1.404ms       | 6.593ms  | 260.343us      | 867.810us | 0 b     | 98.00 Mb  | 822.08MFLOPs | 4.10K      | 1    
   │  │  ├── bn1        | 1.259ms       | 4.730ms  | 267.651us      | 713.736us | 0 b     | 122.50 Mb | 0 FLOPs      | 128.00     | 1    
   │  │  ├── conv2      | 1.631ms       | 6.141ms  | 1.492ms        | 4.973ms   | 0 b     | 98.00 Mb  | 7.40GFLOPs   | 36.86K     | 1    
   │  │  ├── bn2        | 1.211ms       | 4.615ms  | 217.341us      | 579.576us | 0 b     | 122.50 Mb | 0 FLOPs      | 128.00     | 1    
   │  │  ├── conv3      | 1.368ms       | 5.852ms  | 708.753us      | 2.363ms   | 0 b     | 392.00 Mb | 3.29GFLOPs   | 16.38K     | 1    
   │  │  ├── bn3        | 1.582ms       | 5.277ms  | 1.053ms        | 2.807ms   | 0 b     | 490.00 Mb | 0 FLOPs      | 512.00     | 1    
   │  │  ├── relu       | 3.787ms       | 10.405ms | 1.361ms        | 2.723ms   | 0 b     | 0 b       | 0 FLOPs      | 0          | 3    
   │  │  └── downsample |               |          |                |           |         |           |              |            |      
   │  │  │  ├── 0       | 1.415ms       | 6.006ms  | 737.556us      | 2.459ms   | 0 b     | 392.00 Mb | 3.29GFLOPs   | 16.38K     | 1    
   │  │  │  └── 1       | 1.548ms       | 5.145ms  | 1.055ms        | 2.813ms   | 0 b     | 490.00 Mb | 0 FLOPs      | 512.00     | 1    
   │  ├── 1             |               |          |                |           |         |           |              |            |      
   │  │  ├── conv1      | 1.378ms       | 5.999ms  | 688.422us      | 2.295ms   | 0 b     | 98.00 Mb  | 3.29GFLOPs   | 16.38K     | 1    
   │  │  ├── bn1        | 1.234ms       | 4.667ms  | 276.480us      | 737.280us | 0 b     | 122.50 Mb | 0 FLOPs      | 128.00     | 1    
   │  │  ├── conv2      | 1.675ms       | 6.298ms  | 1.485ms        | 4.951ms   | 0 b     | 98.00 Mb  | 7.40GFLOPs   | 36.86K     | 1    
   │  │  ├── bn2        | 1.237ms       | 4.730ms  | 225.699us      | 601.864us | 0 b     | 122.50 Mb | 0 FLOPs      | 128.00     | 1    
   │  │  ├── conv3      | 1.336ms       | 5.625ms  | 729.597us      | 2.432ms   | 0 b     | 392.00 Mb | 3.29GFLOPs   | 16.38K     | 1    
   │  │  ├── bn3        | 1.530ms       | 5.017ms  | 1.049ms        | 2.797ms   | 0 b     | 490.00 Mb | 0 FLOPs      | 512.00     | 1    
   │  │  └── relu       | 3.723ms       | 10.212ms | 1.388ms        | 2.776ms   | 0 b     | 0 b       | 0 FLOPs      | 0          | 3    
   │  └── 2             |               |          |                |           |         |           |              |            |      
   │  │  ├── conv1      | 1.368ms       | 5.925ms  | 678.141us      | 2.260ms   | 0 b     | 98.00 Mb  | 3.29GFLOPs   | 16.38K     | 1    
   │  │  ├── bn1        | 1.312ms       | 4.994ms  | 266.109us      | 709.624us | 0 b     | 122.50 Mb | 0 FLOPs      | 128.00     | 1    
   │  │  ├── conv2      | 1.661ms       | 6.266ms  | 1.503ms        | 5.009ms   | 0 b     | 98.00 Mb  | 7.40GFLOPs   | 36.86K     | 1    
   │  │  ├── bn2        | 1.287ms       | 4.908ms  | 223.386us      | 595.696us | 0 b     | 122.50 Mb | 0 FLOPs      | 128.00     | 1    
   │  │  ├── conv3      | 1.462ms       | 6.298ms  | 736.038us      | 2.453ms   | 0 b     | 392.00 Mb | 3.29GFLOPs   | 16.38K     | 1    
   │  │  ├── bn3        | 1.492ms       | 4.904ms  | 1.054ms        | 2.811ms   | 0 b     | 490.00 Mb | 0 FLOPs      | 512.00     | 1    
   │  │  └── relu       | 3.953ms       | 10.840ms | 1.365ms        | 2.731ms   | 0 b     | 0 b       | 0 FLOPs      | 0          | 3    
   ├── layer2           |               |          |                |           |         |           |              |            |      
   │  ├── 0             |               |          |                |           |         |           |              |            |      
   │  │  ├── conv1      | 1.443ms       | 5.929ms  | 958.140us      | 3.194ms   | 0 b     | 196.00 Mb | 6.58GFLOPs   | 32.77K     | 1    
   │  │  ├── bn1        | 1.328ms       | 4.795ms  | 517.257us      | 1.379ms   | 0 b     | 245.00 Mb | 0 FLOPs      | 256.00     | 1    
   │  │  ├── conv2      | 1.663ms       | 6.345ms  | 1.495ms        | 4.892ms   | 0 b     | 49.00 Mb  | 7.40GFLOPs   | 147.46K    | 1    
   │  │  ├── bn2        | 1.152ms       | 4.501ms  | 110.682us      | 295.152us | 0 b     | 61.25 Mb  | 0 FLOPs      | 256.00     | 1    
   │  │  ├── conv3      | 1.409ms       | 6.044ms  | 668.628us      | 2.229ms   | 0 b     | 196.00 Mb | 3.29GFLOPs   | 65.54K     | 1    
   │  │  ├── bn3        | 1.440ms       | 5.137ms  | 553.239us      | 1.475ms   | 0 b     | 245.00 Mb | 0 FLOPs      | 1.02K      | 1    
   │  │  ├── relu       | 3.835ms       | 10.771ms | 1.096ms        | 2.192ms   | 0 b     | 0 b       | 0 FLOPs      | 0          | 3    
   │  │  └── downsample |               |          |                |           |         |           |              |            |      
   │  │  │  ├── 0       | 1.702ms       | 6.282ms  | 1.648ms        | 5.494ms   | 0 b     | 196.00 Mb | 6.58GFLOPs   | 131.07K    | 1    
   │  │  │  └── 1       | 1.393ms       | 4.979ms  | 551.700us      | 1.471ms   | 0 b     | 245.00 Mb | 0 FLOPs      | 1.02K      | 1    
   │  ├── 1             |               |          |                |           |         |           |              |            |      
   │  │  ├── conv1      | 1.306ms       | 5.770ms  | 527.235us      | 1.757ms   | 0 b     | 49.00 Mb  | 3.29GFLOPs   | 65.54K     | 1    
   │  │  ├── bn1        | 1.240ms       | 4.803ms  | 117.795us      | 314.120us | 0 b     | 61.25 Mb  | 0 FLOPs      | 256.00     | 1    
   │  │  ├── conv2      | 1.458ms       | 6.036ms  | 1.035ms        | 3.433ms   | 0 b     | 49.00 Mb  | 7.40GFLOPs   | 147.46K    | 1    
   │  │  ├── bn2        | 1.172ms       | 4.603ms  | 102.723us      | 273.928us | 0 b     | 61.25 Mb  | 0 FLOPs      | 256.00     | 1    
   │  │  ├── conv3      | 1.378ms       | 5.939ms  | 660.393us      | 2.201ms   | 0 b     | 196.00 Mb | 3.29GFLOPs   | 65.54K     | 1    
   │  │  ├── bn3        | 1.279ms       | 4.597ms  | 549.129us      | 1.464ms   | 0 b     | 245.00 Mb | 0 FLOPs      | 1.02K      | 1    
   │  │  └── relu       | 3.502ms       | 10.045ms | 654.996us      | 1.310ms   | 0 b     | 0 b       | 0 FLOPs      | 0          | 3    
   │  ├── 2             |               |          |                |           |         |           |              |            |      
   │  │  ├── conv1      | 1.246ms       | 5.548ms  | 500.442us      | 1.668ms   | 0 b     | 49.00 Mb  | 3.29GFLOPs   | 65.54K     | 1    
   │  │  ├── bn1        | 1.177ms       | 4.545ms  | 128.154us      | 341.744us | 0 b     | 61.25 Mb  | 0 FLOPs      | 256.00     | 1    
   │  │  ├── conv2      | 1.558ms       | 6.272ms  | 1.043ms        | 3.460ms   | 0 b     | 49.00 Mb  | 7.40GFLOPs   | 147.46K    | 1    
   │  │  ├── bn2        | 1.198ms       | 4.663ms  | 102.234us      | 272.624us | 0 b     | 61.25 Mb  | 0 FLOPs      | 256.00     | 1    
   │  │  ├── conv3      | 1.421ms       | 6.124ms  | 679.089us      | 2.264ms   | 0 b     | 196.00 Mb | 3.29GFLOPs   | 65.54K     | 1    
   │  │  ├── bn3        | 1.323ms       | 4.731ms  | 538.959us      | 1.437ms   | 0 b     | 245.00 Mb | 0 FLOPs      | 1.02K      | 1    
   │  │  └── relu       | 3.416ms       | 9.764ms  | 655.776us      | 1.312ms   | 0 b     | 0 b       | 0 FLOPs      | 0          | 3    
   │  └── 3             |               |          |                |           |         |           |              |            |      
   │  │  ├── conv1      | 1.307ms       | 5.827ms  | 532.596us      | 1.775ms   | 0 b     | 49.00 Mb  | 3.29GFLOPs   | 65.54K     | 1    
   │  │  ├── bn1        | 1.147ms       | 4.456ms  | 110.109us      | 293.624us | 0 b     | 61.25 Mb  | 0 FLOPs      | 256.00     | 1    
   │  │  ├── conv2      | 1.428ms       | 5.735ms  | 1.022ms        | 3.392ms   | 0 b     | 49.00 Mb  | 7.40GFLOPs   | 147.46K    | 1    
   │  │  ├── bn2        | 1.153ms       | 4.512ms  | 97.152us       | 259.072us | 0 b     | 61.25 Mb  | 0 FLOPs      | 256.00     | 1    
   │  │  ├── conv3      | 1.321ms       | 5.685ms  | 670.482us      | 2.235ms   | 0 b     | 196.00 Mb | 3.29GFLOPs   | 65.54K     | 1    
   │  │  ├── bn3        | 1.292ms       | 4.618ms  | 538.092us      | 1.435ms   | 0 b     | 245.00 Mb | 0 FLOPs      | 1.02K      | 1    
   │  │  └── relu       | 3.373ms       | 9.663ms  | 647.616us      | 1.295ms   | 0 b     | 0 b       | 0 FLOPs      | 0          | 3    
   ├── layer3           |               |          |                |           |         |           |              |            |      
   │  ├── 0             |               |          |                |           |         |           |              |            |      
   │  │  ├── conv1      | 1.365ms       | 5.590ms  | 929.874us      | 3.100ms   | 0 b     | 98.00 Mb  | 6.58GFLOPs   | 131.07K    | 1    
   │  │  ├── bn1        | 1.136ms       | 4.275ms  | 283.293us      | 755.448us | 0 b     | 122.50 Mb | 0 FLOPs      | 512.00     | 1    
   │  │  ├── conv2      | 1.419ms       | 5.579ms  | 1.105ms        | 3.647ms   | 0 b     | 24.50 Mb  | 7.40GFLOPs   | 589.82K    | 1    
   │  │  ├── bn2        | 1.117ms       | 4.270ms  | 52.797us       | 140.792us | 0 b     | 30.62 Mb  | 0 FLOPs      | 512.00     | 1    
   │  │  ├── conv3      | 1.278ms       | 5.548ms  | 609.306us      | 2.031ms   | 0 b     | 98.00 Mb  | 3.29GFLOPs   | 262.14K    | 1    
   │  │  ├── bn3        | 1.132ms       | 4.254ms  | 240.576us      | 641.536us | 0 b     | 122.50 Mb | 0 FLOPs      | 2.05K      | 1    
