Module                              | Self CPU time | CPU time  | Self CUDA time | CUDA time | CPU Mem   | CUDA Mem | FLOPs        | Parameters | Calls
------------------------------------|---------------|-----------|----------------|-----------|-----------|----------|--------------|------------|------
MobileNetV3                         |               |           |                |           |           |          |              |            |      
   ├── features                     |               |           |                |           |           |          |              |            |      
   │  ├── 0                         |               |           |                |           |           |          |              |            |      
   │  │  ├── 0                      | 416.300us     | 2.010ms   | 0.000ns        | 0.000ns   | 492.00 Kb | 0 b      | 884.74KFLOPs | 432.00     | 1    
   │  │  ├── 1                      | 149.600us     | 435.950us | 0.000ns        | 0.000ns   | 320.12 Kb | 0 b      | 0 FLOPs      | 32.00      | 1    
   │  │  └── 2                      | 31.600us      | 31.600us  | 0.000ns        | 0.000ns   | 0 b       | 0 b      | 0 FLOPs      | 0          | 1    
   │  ├── 1                         |               |           |                |           |           |          |              |            |      
   │  │  └── block                  |               |           |                |           |           |          |              |            |      
   │  │  │  ├── 0                   |               |           |                |           |           |          |              |            |      
   │  │  │  │  ├── 0                | 470.800us     | 1.861ms   | 0.000ns        | 0.000ns   | 320.00 Kb | 0 b      | 294.91KFLOPs | 144.00     | 1    
   │  │  │  │  ├── 1                | 122.400us     | 367.150us | 0.000ns        | 0.000ns   | 320.12 Kb | 0 b      | 0 FLOPs      | 32.00      | 1    
   │  │  │  │  └── 2                | 50.400us      | 91.800us  | 0.000ns        | 0.000ns   | 0 b       | 0 b      | 0 FLOPs      | 0          | 1    
   │  │  │  └── 1                   |               |           |                |           |           |          |              |            |      
   │  │  │  │  ├── 0                | 151.000us     | 714.050us | 0.000ns        | 0.000ns   | 384.00 Kb | 0 b      | 524.29KFLOPs | 256.00     | 1    
   │  │  │  │  └── 1                | 130.400us     | 383.533us | 0.000ns        | 0.000ns   | 320.12 Kb | 0 b      | 0 FLOPs      | 32.00      | 1    
   │  ├── 2                         |               |           |                |           |           |          |              |            |      
   │  │  └── block                  |               |           |                |           |           |          |              |            |      
   │  │  │  ├── 0                   |               |           |                |           |           |          |              |            |      
   │  │  │  │  ├── 0                | 146.700us     | 690.800us | 0.000ns        | 0.000ns   | 1.50 Mb   | 0 b      | 2.10MFLOPs   | 1.02K      | 1    
   │  │  │  │  ├── 1                | 123.100us     | 360.033us | 0.000ns        | 0.000ns   | 1.25 Mb   | 0 b      | 0 FLOPs      | 128.00     | 1    
   │  │  │  │  └── 2                | 139.800us     | 270.000us | 0.000ns        | 0.000ns   | 0 b       | 0 b      | 0 FLOPs      | 0          | 1    
   │  │  │  ├── 1                   |               |           |                |           |           |          |              |            |      
   │  │  │  │  ├── 0                | 880.700us     | 3.503ms   | 0.000ns        | 0.000ns   | 320.00 Kb | 0 b      | 294.91KFLOPs | 576.00     | 1    
   │  │  │  │  ├── 1                | 84.100us      | 242.050us | 0.000ns        | 0.000ns   | 320.50 Kb | 0 b      | 0 FLOPs      | 128.00     | 1    
   │  │  │  │  └── 2                | 32.100us      | 58.700us  | 0.000ns        | 0.000ns   | 0 b       | 0 b      | 0 FLOPs      | 0          | 1    
   │  │  │  └── 2                   |               |           |                |           |           |          |              |            |      
   │  │  │  │  ├── 0                | 108.100us     | 500.350us | 0.000ns        | 0.000ns   | 144.00 Kb | 0 b      | 786.43KFLOPs | 1.54K      | 1    
