Module                              | Self CPU time | CPU time  | Self CUDA time | CUDA time | CPU Mem   | CUDA Mem | FLOPs        | Parameters | Calls
------------------------------------|---------------|-----------|----------------|-----------|-----------|----------|--------------|------------|------
MobileNetV3                         |               |           |                |           |           |          |              |            |      
   ├── features                     |               |           |                |           |           |          |              |            |      
   │  ├── 0                         |               |           |                |           |           |          |              |            |      
   │  │  ├── 0                      | 2.149ms       | 8.550ms   | 0.000ns        | 0.000ns   | 122.50 Mb | 0 b      | 346.82MFLOPs | 432.00     | 1    
   │  │  ├── 1                      | 573.100us     | 1.696ms   | 0.000ns        | 0.000ns   | 122.50 Mb | 0 b      | 0 FLOPs      | 32.00      | 1    
   │  │  └── 2                      | 315.500us     | 315.500us | 0.000ns        | 0.000ns   | 0 b       | 0 b      | 0 FLOPs      | 0          | 1    
   │  ├── 1                         |               |           |                |           |           |          |              |            |      
   │  │  └── block                  |               |           |                |           |           |          |              |            |      
   │  │  │  ├── 0                   |               |           |                |           |           |          |              |            |      
   │  │  │  │  ├── 0                | 1.900ms       | 7.559ms   | 0.000ns        | 0.000ns   | 122.50 Mb | 0 b      | 115.61MFLOPs | 144.00     | 1    
   │  │  │  │  ├── 1                | 443.800us     | 1.313ms   | 0.000ns        | 0.000ns   | 122.50 Mb | 0 b      | 0 FLOPs      | 32.00      | 1    
   │  │  │  │  └── 2                | 361.700us     | 705.100us | 0.000ns        | 0.000ns   | 0 b       | 0 b      | 0 FLOPs      | 0          | 1    
   │  │  │  └── 1                   |               |           |                |           |           |          |              |            |      
   │  │  │  │  ├── 0                | 2.056ms       | 8.186ms   | 0.000ns        | 0.000ns   | 122.50 Mb | 0 b      | 205.52MFLOPs | 256.00     | 1    
   │  │  │  │  └── 1                | 529.200us     | 1.570ms   | 0.000ns        | 0.000ns   | 122.50 Mb | 0 b      | 0 FLOPs      | 32.00      | 1    
   │  ├── 2                         |               |           |                |           |           |          |              |            |      
   │  │  └── block                  |               |           |                |           |           |          |              |            |      
   │  │  │  ├── 0                   |               |           |                |           |           |          |              |            |      
   │  │  │  │  ├── 0                | 10.754ms      | 43.260ms  | 0.000ns        | 0.000ns   | 490.00 Mb | 0 b      | 822.08MFLOPs | 1.02K      | 1    
   │  │  │  │  ├── 1                | 4.444ms       | 13.309ms  | 0.000ns        | 0.000ns   | 490.00 Mb | 0 b      | 0 FLOPs      | 128.00     | 1    
   │  │  │  │  └── 2                | 2.464ms       | 4.910ms   | 0.000ns        | 0.000ns   | 0 b       | 0 b      | 0 FLOPs      | 0          | 1    
   │  │  │  ├── 1                   |               |           |                |           |           |          |              |            |      
   │  │  │  │  ├── 0                | 8.783ms       | 35.088ms  | 0.000ns        | 0.000ns   | 122.50 Mb | 0 b      | 115.61MFLOPs | 576.00     | 1    
   │  │  │  │  ├── 1                | 670.700us     | 1.994ms   | 0.000ns        | 0.000ns   | 122.50 Mb | 0 b      | 0 FLOPs      | 128.00     | 1    
   │  │  │  │  └── 2                | 474.800us     | 936.700us | 0.000ns        | 0.000ns   | 0 b       | 0 b      | 0 FLOPs      | 0          | 1    
   │  │  │  └── 2                   |               |           |                |           |           |          |              |            |      
