Module                              | Self CPU time | CPU time  | Self CUDA time | CUDA time | CPU Mem | CUDA Mem  | FLOPs        | Parameters | Calls
------------------------------------|---------------|-----------|----------------|-----------|---------|-----------|--------------|------------|------
MobileNetV3                         |               |           |                |           |         |           |              |            |      
   ├── features                     |               |           |                |           |         |           |              |            |      
   │  ├── 0                         |               |           |                |           |         |           |              |            |      
   │  │  ├── 0                      | 1.020ms       | 4.886ms   | 203.034us      | 676.780us | 0 b     | 24.50 Mb  | 86.70MFLOPs  | 432.00     | 1    
   │  │  ├── 1                      | 951.500us     | 3.701ms   | 43.581us       | 116.216us | 0 b     | 30.62 Mb  | 0 FLOPs      | 32.00      | 1    
   │  │  └── 2                      | 904.100us     | 1.776ms   | 33.120us       | 44.160us  | 0 b     | 0 b       | 0 FLOPs      | 0          | 1    
   │  ├── 1                         |               |           |                |           |         |           |              |            |      
   │  │  └── block                  |               |           |                |           |         |           |              |            |      
   │  │  │  ├── 0                   |               |           |                |           |         |           |              |            |      
   │  │  │  │  ├── 0                | 1.243ms       | 5.832ms   | 284.166us      | 947.220us | 0 b     | 30.62 Mb  | 28.90MFLOPs  | 144.00     | 1    
   │  │  │  │  ├── 1                | 1.115ms       | 4.399ms   | 41.859us       | 111.624us | 0 b     | 30.62 Mb  | 0 FLOPs      | 32.00      | 1    
   │  │  │  │  └── 2                | 998.600us     | 2.936ms   | 32.928us       | 65.856us  | 0 b     | 0 b       | 0 FLOPs      | 0          | 1    
   │  │  │  └── 1                   |               |           |                |           |         |           |              |            |      
   │  │  │  │  ├── 0                | 1.103ms       | 5.297ms   | 154.269us      | 514.230us | 0 b     | 24.50 Mb  | 51.38MFLOPs  | 256.00     | 1    
   │  │  │  │  └── 1                | 1.077ms       | 4.235ms   | 44.928us       | 119.808us | 0 b     | 30.62 Mb  | 0 FLOPs      | 32.00      | 1    
   │  ├── 2                         |               |           |                |           |         |           |              |            |      
   │  │  └── block                  |               |           |                |           |         |           |              |            |      
   │  │  │  ├── 0                   |               |           |                |           |         |           |              |            |      
   │  │  │  │  ├── 0                | 1.115ms       | 5.258ms   | 223.581us      | 745.270us | 0 b     | 98.00 Mb  | 205.52MFLOPs | 1.02K      | 1    
   │  │  │  │  ├── 1                | 1.099ms       | 4.159ms   | 251.415us      | 670.440us | 0 b     | 122.50 Mb | 0 FLOPs      | 128.00     | 1    
   │  │  │  │  └── 2                | 1.069ms       | 3.065ms   | 187.092us      | 374.184us | 0 b     | 0 b       | 0 FLOPs      | 0          | 1    
   │  │  │  ├── 1                   |               |           |                |           |         |           |              |            |      
   │  │  │  │  ├── 0                | 1.101ms       | 5.136ms   | 284.160us      | 947.200us | 0 b     | 30.62 Mb  | 28.90MFLOPs  | 576.00     | 1    
   │  │  │  │  ├── 1                | 992.500us     | 3.900ms   | 48.957us       | 130.552us | 0 b     | 30.62 Mb  | 0 FLOPs      | 128.00     | 1    
   │  │  │  │  └── 2                | 975.900us     | 2.869ms   | 33.216us       | 66.432us  | 0 b     | 0 b       | 0 FLOPs      | 0          | 1    
   │  │  │  └── 2                   |               |           |                |           |         |           |              |            |      
   │  │  │  │  ├── 0                | 1.013ms       | 4.897ms   | 103.197us      | 343.990us | 0 b     | 9.19 Mb   | 77.07MFLOPs  | 1.54K      | 1    
