Module                  | Self CPU time | CPU time  | Self CUDA time | CUDA time | CPU Mem   | CUDA Mem | FLOPs        | Parameters | Calls
------------------------|---------------|-----------|----------------|-----------|-----------|----------|--------------|------------|------
ResNet                  |               |           |                |           |           |          |              |            |      
   ├── conv1            | 11.004ms      | 43.969ms  | 0.000ns        | 0.000ns   | 490.00 Mb | 0 b      | 7.55GFLOPs   | 9.41K      | 1    
   ├── bn1              | 5.141ms       | 15.404ms  | 0.000ns        | 0.000ns   | 490.00 Mb | 0 b      | 0 FLOPs      | 128.00     | 1    
   ├── relu             | 3.257ms       | 6.493ms   | 0.000ns        | 0.000ns   | 0 b       | 0 b      | 0 FLOPs      | 0          | 1    
   ├── maxpool          | 11.985ms      | 23.944ms  | 0.000ns        | 0.000ns   | 98.00 Mb  | 0 b      | 0 FLOPs      | 0          | 1    
   ├── layer1           |               |           |                |           |           |          |              |            |      
   │  ├── 0             |               |           |                |           |           |          |              |            |      
   │  │  ├── conv1      | 2.944ms       | 11.723ms  | 0.000ns        | 0.000ns   | 122.50 Mb | 0 b      | 822.08MFLOPs | 4.10K      | 1    
   │  │  ├── bn1        | 760.300us     | 2.258ms   | 0.000ns        | 0.000ns   | 122.50 Mb | 0 b      | 0 FLOPs      | 128.00     | 1    
   │  │  ├── conv2      | 5.939ms       | 23.717ms  | 0.000ns        | 0.000ns   | 122.50 Mb | 0 b      | 7.40GFLOPs   | 36.86K     | 1    
   │  │  ├── bn2        | 1.044ms       | 3.109ms   | 0.000ns        | 0.000ns   | 122.50 Mb | 0 b      | 0 FLOPs      | 128.00     | 1    
   │  │  ├── conv3      | 11.525ms      | 46.060ms  | 0.000ns        | 0.000ns   | 490.00 Mb | 0 b      | 3.29GFLOPs   | 16.38K     | 1    
   │  │  ├── bn3        | 5.275ms       | 15.805ms  | 0.000ns        | 0.000ns   | 490.00 Mb | 0 b      | 0 FLOPs      | 512.00     | 1    
   │  │  ├── relu       | 4.226ms       | 8.406ms   | 0.000ns        | 0.000ns   | 0 b       | 0 b      | 0 FLOPs      | 0          | 3    
   │  │  └── downsample |               |           |                |           |           |          |              |            |      
   │  │  │  ├── 0       | 11.808ms      | 47.189ms  | 0.000ns        | 0.000ns   | 490.00 Mb | 0 b      | 3.29GFLOPs   | 16.38K     | 1    
   │  │  │  └── 1       | 5.246ms       | 15.713ms  | 0.000ns        | 0.000ns   | 490.00 Mb | 0 b      | 0 FLOPs      | 512.00     | 1    
   │  ├── 1             |               |           |                |           |           |          |              |            |      
   │  │  ├── conv1      | 10.075ms      | 40.254ms  | 0.000ns        | 0.000ns   | 122.50 Mb | 0 b      | 3.29GFLOPs   | 16.38K     | 1    
   │  │  ├── bn1        | 1.021ms       | 3.038ms   | 0.000ns        | 0.000ns   | 122.50 Mb | 0 b      | 0 FLOPs      | 128.00     | 1    
   │  │  ├── conv2      | 6.431ms       | 25.678ms  | 0.000ns        | 0.000ns   | 122.50 Mb | 0 b      | 7.40GFLOPs   | 36.86K     | 1    
   │  │  ├── bn2        | 805.700us     | 2.404ms   | 0.000ns        | 0.000ns   | 122.50 Mb | 0 b      | 0 FLOPs      | 128.00     | 1    
   │  │  ├── conv3      | 10.609ms      | 42.397ms  | 0.000ns        | 0.000ns   | 490.00 Mb | 0 b      | 3.29GFLOPs   | 16.38K     | 1    
   │  │  ├── bn3        | 5.188ms       | 15.545ms  | 0.000ns        | 0.000ns   | 490.00 Mb | 0 b      | 0 FLOPs      | 512.00     | 1    
   │  │  └── relu       | 3.855ms       | 7.662ms   | 0.000ns        | 0.000ns   | 0 b       | 0 b      | 0 FLOPs      | 0          | 3    
   │  └── 2             |               |           |                |           |           |          |              |            |      
   │  │  ├── conv1      | 9.434ms       | 37.685ms  | 0.000ns        | 0.000ns   | 122.50 Mb | 0 b      | 3.29GFLOPs   | 16.38K     | 1    
   │  │  ├── bn1        | 882.500us     | 2.623ms   | 0.000ns        | 0.000ns   | 122.50 Mb | 0 b      | 0 FLOPs      | 128.00     | 1    
   │  │  ├── conv2      | 6.346ms       | 25.341ms  | 0.000ns        | 0.000ns   | 122.50 Mb | 0 b      | 7.40GFLOPs   | 36.86K     | 1    
   │  │  ├── bn2        | 840.600us     | 2.507ms   | 0.000ns        | 0.000ns   | 122.50 Mb | 0 b      | 0 FLOPs      | 128.00     | 1    
   │  │  ├── conv3      | 16.432ms      | 65.898ms  | 0.000ns        | 0.000ns   | 490.00 Mb | 0 b      | 3.29GFLOPs   | 16.38K     | 1    
   │  │  ├── bn3        | 5.246ms       | 15.725ms  | 0.000ns        | 0.000ns   | 490.00 Mb | 0 b      | 0 FLOPs      | 512.00     | 1    
   │  │  └── relu       | 4.251ms       | 8.453ms   | 0.000ns        | 0.000ns   | 0 b       | 0 b      | 0 FLOPs      | 0          | 3    
   ├── layer2           |               |           |                |           |           |          |              |            |      
   │  ├── 0             |               |           |                |           |           |          |              |            |      
   │  │  ├── conv1      | 12.877ms      | 51.462ms  | 0.000ns        | 0.000ns   | 245.00 Mb | 0 b      | 6.58GFLOPs   | 32.77K     | 1    
   │  │  ├── bn1        | 2.394ms       | 7.162ms   | 0.000ns        | 0.000ns   | 245.00 Mb | 0 b      | 0 FLOPs      | 256.00     | 1    
   │  │  ├── conv2      | 7.909ms       | 31.592ms  | 0.000ns        | 0.000ns   | 61.25 Mb  | 0 b      | 7.40GFLOPs   | 147.46K    | 1    
   │  │  ├── bn2        | 400.900us     | 1.187ms   | 0.000ns        | 0.000ns   | 61.25 Mb  | 0 b      | 0 FLOPs      | 256.00     | 1    
   │  │  ├── conv3      | 5.332ms       | 21.285ms  | 0.000ns        | 0.000ns   | 245.00 Mb | 0 b      | 3.29GFLOPs   | 65.54K     | 1    
   │  │  ├── bn3        | 2.172ms       | 6.497ms   | 0.000ns        | 0.000ns   | 245.00 Mb | 0 b      | 0 FLOPs      | 1.02K      | 1    
   │  │  ├── relu       | 3.187ms       | 6.332ms   | 0.000ns        | 0.000ns   | 0 b       | 0 b      | 0 FLOPs      | 0          | 3    
   │  │  └── downsample |               |           |                |           |           |          |              |            |      
   │  │  │  ├── 0       | 12.563ms      | 50.212ms  | 0.000ns        | 0.000ns   | 245.00 Mb | 0 b      | 6.58GFLOPs   | 131.07K    | 1    
   │  │  │  └── 1       | 2.861ms       | 8.565ms   | 0.000ns        | 0.000ns   | 245.00 Mb | 0 b      | 0 FLOPs      | 1.02K      | 1    
   │  ├── 1             |               |           |                |           |           |          |              |            |      
   │  │  ├── conv1      | 5.910ms       | 23.596ms  | 0.000ns        | 0.000ns   | 61.25 Mb  | 0 b      | 3.29GFLOPs   | 65.54K     | 1    
   │  │  ├── bn1        | 453.100us     | 1.341ms   | 0.000ns        | 0.000ns   | 61.25 Mb  | 0 b      | 0 FLOPs      | 256.00     | 1    
   │  │  ├── conv2      | 5.576ms       | 22.261ms  | 0.000ns        | 0.000ns   | 61.25 Mb  | 0 b      | 7.40GFLOPs   | 147.46K    | 1    
   │  │  ├── bn2        | 960.800us     | 2.867ms   | 0.000ns        | 0.000ns   | 61.25 Mb  | 0 b      | 0 FLOPs      | 256.00     | 1    
   │  │  ├── conv3      | 5.571ms       | 22.239ms  | 0.000ns        | 0.000ns   | 245.00 Mb | 0 b      | 3.29GFLOPs   | 65.54K     | 1    
   │  │  ├── bn3        | 2.113ms       | 6.335ms   | 0.000ns        | 0.000ns   | 245.00 Mb | 0 b      | 0 FLOPs      | 1.02K      | 1    
   │  │  └── relu       | 1.627ms       | 3.210ms   | 0.000ns        | 0.000ns   | 0 b       | 0 b      | 0 FLOPs      | 0          | 3    
   │  ├── 2             |               |           |                |           |           |          |              |            |      
   │  │  ├── conv1      | 5.540ms       | 22.114ms  | 0.000ns        | 0.000ns   | 61.25 Mb  | 0 b      | 3.29GFLOPs   | 65.54K     | 1    
   │  │  ├── bn1        | 385.500us     | 1.152ms   | 0.000ns        | 0.000ns   | 61.25 Mb  | 0 b      | 0 FLOPs      | 256.00     | 1    
   │  │  ├── conv2      | 5.005ms       | 19.978ms  | 0.000ns        | 0.000ns   | 61.25 Mb  | 0 b      | 7.40GFLOPs   | 147.46K    | 1    
   │  │  ├── bn2        | 794.200us     | 2.365ms   | 0.000ns        | 0.000ns   | 61.25 Mb  | 0 b      | 0 FLOPs      | 256.00     | 1    
   │  │  ├── conv3      | 4.893ms       | 19.530ms  | 0.000ns        | 0.000ns   | 245.00 Mb | 0 b      | 3.29GFLOPs   | 65.54K     | 1    
   │  │  ├── bn3        | 2.559ms       | 7.651ms   | 0.000ns        | 0.000ns   | 245.00 Mb | 0 b      | 0 FLOPs      | 1.02K      | 1    
   │  │  └── relu       | 1.645ms       | 3.250ms   | 0.000ns        | 0.000ns   | 0 b       | 0 b      | 0 FLOPs      | 0          | 3    
   │  └── 3             |               |           |                |           |           |          |              |            |      
   │  │  ├── conv1      | 5.244ms       | 20.930ms  | 0.000ns        | 0.000ns   | 61.25 Mb  | 0 b      | 3.29GFLOPs   | 65.54K     | 1    
   │  │  ├── bn1        | 511.800us     | 1.521ms   | 0.000ns        | 0.000ns   | 61.25 Mb  | 0 b      | 0 FLOPs      | 256.00     | 1    
   │  │  ├── conv2      | 5.330ms       | 21.278ms  | 0.000ns        | 0.000ns   | 61.25 Mb  | 0 b      | 7.40GFLOPs   | 147.46K    | 1    
   │  │  ├── bn2        | 384.100us     | 1.138ms   | 0.000ns        | 0.000ns   | 61.25 Mb  | 0 b      | 0 FLOPs      | 256.00     | 1    
   │  │  ├── conv3      | 5.683ms       | 22.695ms  | 0.000ns        | 0.000ns   | 245.00 Mb | 0 b      | 3.29GFLOPs   | 65.54K     | 1    
   │  │  ├── bn3        | 2.148ms       | 6.427ms   | 0.000ns        | 0.000ns   | 245.00 Mb | 0 b      | 0 FLOPs      | 1.02K      | 1    
   │  │  └── relu       | 2.167ms       | 4.300ms   | 0.000ns        | 0.000ns   | 0 b       | 0 b      | 0 FLOPs      | 0          | 3    
   ├── layer3           |               |           |                |           |           |          |              |            |      
   │  ├── 0             |               |           |                |           |           |          |              |            |      
   │  │  ├── conv1      | 7.294ms       | 29.132ms  | 0.000ns        | 0.000ns   | 122.50 Mb | 0 b      | 6.58GFLOPs   | 131.07K    | 1    
   │  │  ├── bn1        | 702.200us     | 2.091ms   | 0.000ns        | 0.000ns   | 122.50 Mb | 0 b      | 0 FLOPs      | 512.00     | 1    
   │  │  ├── conv2      | 5.195ms       | 20.735ms  | 0.000ns        | 0.000ns   | 30.62 Mb  | 0 b      | 7.40GFLOPs   | 589.82K    | 1    
   │  │  ├── bn2        | 390.900us     | 1.159ms   | 0.000ns        | 0.000ns   | 30.63 Mb  | 0 b      | 0 FLOPs      | 512.00     | 1    
   │  │  ├── conv3      | 4.298ms       | 17.156ms  | 0.000ns        | 0.000ns   | 122.50 Mb | 0 b      | 3.29GFLOPs   | 262.14K    | 1    
