Module                              | Self CPU time | CPU time  | Self CUDA time | CUDA time | CPU Mem | CUDA Mem  | FLOPs        | Parameters | Calls
------------------------------------|---------------|-----------|----------------|-----------|---------|-----------|--------------|------------|------
MobileNetV3                         |               |           |                |           |         |           |              |            |      
   ├── features                     |               |           |                |           |         |           |              |            |      
   │  ├── 0                         |               |           |                |           |         |           |              |            |      
   │  │  ├── 0                      | 1.038ms       | 4.944ms   | 17.472us       | 58.240us  | 0 b     | 256.00 Kb | 884.74KFLOPs | 432.00     | 1    
   │  │  ├── 1                      | 988.400us     | 3.852ms   | 7.104us        | 18.944us  | 0 b     | 320.00 Kb | 0 FLOPs      | 32.00      | 1    
   │  │  └── 2                      | 902.600us     | 1.773ms   | 6.048us        | 8.064us   | 0 b     | 0 b       | 0 FLOPs      | 0          | 1    
   │  ├── 1                         |               |           |                |           |         |           |              |            |      
   │  │  └── block                  |               |           |                |           |         |           |              |            |      
   │  │  │  ├── 0                   |               |           |                |           |         |           |              |            |      
   │  │  │  │  ├── 0                | 1.183ms       | 5.816ms   | 10.560us       | 35.200us  | 0 b     | 320.00 Kb | 294.91KFLOPs | 144.00     | 1    
   │  │  │  │  ├── 1                | 1.090ms       | 4.292ms   | 7.104us        | 18.944us  | 0 b     | 320.00 Kb | 0 FLOPs      | 32.00      | 1    
   │  │  │  │  └── 2                | 1.006ms       | 2.958ms   | 5.952us        | 11.904us  | 0 b     | 0 b       | 0 FLOPs      | 0          | 1    
   │  │  │  └── 1                   |               |           |                |           |         |           |              |            |      
   │  │  │  │  ├── 0                | 1.103ms       | 5.389ms   | 12.864us       | 42.880us  | 0 b     | 256.00 Kb | 524.29KFLOPs | 256.00     | 1    
   │  │  │  │  └── 1                | 1.056ms       | 4.160ms   | 7.008us        | 18.688us  | 0 b     | 320.00 Kb | 0 FLOPs      | 32.00      | 1    
   │  ├── 2                         |               |           |                |           |         |           |              |            |      
   │  │  └── block                  |               |           |                |           |         |           |              |            |      
   │  │  │  ├── 0                   |               |           |                |           |         |           |              |            |      
   │  │  │  │  ├── 0                | 1.074ms       | 5.252ms   | 13.056us       | 43.520us  | 0 b     | 1.00 Mb   | 2.10MFLOPs   | 1.02K      | 1    
   │  │  │  │  ├── 1                | 1.075ms       | 4.238ms   | 7.776us        | 20.736us  | 0 b     | 1.25 Mb   | 0 FLOPs      | 128.00     | 1    
   │  │  │  │  └── 2                | 1.054ms       | 3.109ms   | 5.952us        | 11.904us  | 0 b     | 0 b       | 0 FLOPs      | 0          | 1    
   │  │  │  ├── 1                   |               |           |                |           |         |           |              |            |      
   │  │  │  │  ├── 0                | 1.055ms       | 5.192ms   | 10.941us       | 36.470us  | 0 b     | 320.00 Kb | 294.91KFLOPs | 576.00     | 1    
   │  │  │  │  ├── 1                | 1.119ms       | 4.406ms   | 6.624us        | 17.664us  | 0 b     | 320.00 Kb | 0 FLOPs      | 128.00     | 1    
   │  │  │  │  └── 2                | 1.033ms       | 3.044ms   | 5.376us        | 10.752us  | 0 b     | 0 b       | 0 FLOPs      | 0          | 1    
   │  │  │  └── 2                   |               |           |                |           |         |           |              |            |      
