Module                  | Self CPU time | CPU time | Self CUDA time | CUDA time | CPU Mem | CUDA Mem  | FLOPs        | Parameters | Calls
------------------------|---------------|----------|----------------|-----------|---------|-----------|--------------|------------|------
ResNet                  |               |          |                |           |         |           |              |            |      
   ├── conv1            | 1.244ms       | 5.429ms  | 728.436us      | 2.428ms   | 0 b     | 98.00 Mb  | 1.89GFLOPs   | 9.41K      | 1    
   ├── bn1              | 1.069ms       | 4.026ms  | 223.761us      | 596.696us | 0 b     | 122.50 Mb | 0 FLOPs      | 128.00     | 1    
   ├── relu             | 947.300us     | 2.721ms  | 149.949us      | 299.898us | 0 b     | 0 b       | 0 FLOPs      | 0          | 1    
   ├── maxpool          | 1.262ms       | 3.616ms  | 243.936us      | 487.872us | 0 b     | 24.50 Mb  | 0 FLOPs      | 0          | 1    
   ├── layer1           |               |          |                |           |         |           |              |            |      
   │  ├── 0             |               |          |                |           |         |           |              |            |      
   │  │  ├── conv1      | 1.204ms       | 5.838ms  | 103.485us      | 344.950us | 0 b     | 24.50 Mb  | 205.52MFLOPs | 4.10K      | 1    
   │  │  ├── bn1        | 1.074ms       | 4.233ms  | 46.272us       | 123.392us | 0 b     | 30.62 Mb  | 0 FLOPs      | 128.00     | 1    
   │  │  ├── conv2      | 1.197ms       | 5.493ms  | 328.698us      | 1.087ms   | 0 b     | 24.50 Mb  | 1.85GFLOPs   | 36.86K     | 1    
   │  │  ├── bn2        | 1.084ms       | 4.274ms  | 44.736us       | 119.296us | 0 b     | 30.62 Mb  | 0 FLOPs      | 128.00     | 1    
   │  │  ├── conv3      | 1.133ms       | 5.277ms  | 217.920us      | 726.400us | 0 b     | 98.00 Mb  | 822.08MFLOPs | 16.38K     | 1    
   │  │  ├── bn3        | 1.132ms       | 4.300ms  | 225.399us      | 601.064us | 0 b     | 122.50 Mb | 0 FLOPs      | 512.00     | 1    
   │  │  ├── relu       | 3.250ms       | 9.587ms  | 200.922us      | 401.844us | 0 b     | 0 b       | 0 FLOPs      | 0          | 3    
   │  │  └── downsample |               |          |                |           |         |           |              |            |      
   │  │  │  ├── 0       | 1.183ms       | 5.624ms  | 222.333us      | 741.110us | 0 b     | 98.00 Mb  | 822.08MFLOPs | 16.38K     | 1    
   │  │  │  └── 1       | 1.178ms       | 4.469ms  | 244.707us      | 652.552us | 0 b     | 122.50 Mb | 0 FLOPs      | 512.00     | 1    
   │  ├── 1             |               |          |                |           |         |           |              |            |      
   │  │  ├── conv1      | 1.131ms       | 5.392ms  | 192.951us      | 643.170us | 0 b     | 24.50 Mb  | 822.08MFLOPs | 16.38K     | 1    
   │  │  ├── bn1        | 1.109ms       | 4.372ms  | 43.965us       | 117.240us | 0 b     | 30.62 Mb  | 0 FLOPs      | 128.00     | 1    
   │  │  ├── conv2      | 1.173ms       | 5.343ms  | 349.065us      | 1.154ms   | 0 b     | 24.50 Mb  | 1.85GFLOPs   | 36.86K     | 1    
   │  │  ├── bn2        | 1.052ms       | 4.147ms  | 44.925us       | 119.800us | 0 b     | 30.62 Mb  | 0 FLOPs      | 128.00     | 1    
   │  │  ├── conv3      | 1.123ms       | 5.231ms  | 251.901us      | 839.670us | 0 b     | 98.00 Mb  | 822.08MFLOPs | 16.38K     | 1    
   │  │  ├── bn3        | 1.257ms       | 4.829ms  | 208.992us      | 557.312us | 0 b     | 122.50 Mb | 0 FLOPs      | 512.00     | 1    
   │  │  └── relu       | 3.203ms       | 9.424ms  | 193.629us      | 387.258us | 0 b     | 0 b       | 0 FLOPs      | 0          | 3    
   │  └── 2             |               |          |                |           |         |           |              |            |      
   │  │  ├── conv1      | 1.108ms       | 5.280ms  | 199.191us      | 663.970us | 0 b     | 24.50 Mb  | 822.08MFLOPs | 16.38K     | 1    
   │  │  ├── bn1        | 1.069ms       | 4.215ms  | 44.349us       | 118.264us | 0 b     | 30.62 Mb  | 0 FLOPs      | 128.00     | 1    
   │  │  ├── conv2      | 1.255ms       | 5.697ms  | 354.627us      | 1.173ms   | 0 b     | 24.50 Mb  | 1.85GFLOPs   | 36.86K     | 1    
   │  │  ├── bn2        | 1.080ms       | 4.258ms  | 44.544us       | 118.784us | 0 b     | 30.62 Mb  | 0 FLOPs      | 128.00     | 1    
   │  │  ├── conv3      | 1.194ms       | 5.602ms  | 232.416us      | 774.720us | 0 b     | 98.00 Mb  | 822.08MFLOPs | 16.38K     | 1    
   │  │  ├── bn3        | 1.095ms       | 4.177ms  | 213.981us      | 570.616us | 0 b     | 122.50 Mb | 0 FLOPs      | 512.00     | 1    
   │  │  └── relu       | 3.207ms       | 9.373ms  | 197.847us      | 395.694us | 0 b     | 0 b       | 0 FLOPs      | 0          | 3    
   ├── layer2           |               |          |                |           |         |           |              |            |      
   │  ├── 0             |               |          |                |           |         |           |              |            |      
   │  │  ├── conv1      | 1.682ms       | 7.491ms  | 312.189us      | 1.041ms   | 0 b     | 49.00 Mb  | 1.64GFLOPs   | 32.77K     | 1    
   │  │  ├── bn1        | 1.093ms       | 4.307ms  | 79.488us       | 211.968us | 0 b     | 61.25 Mb  | 0 FLOPs      | 256.00     | 1    
   │  │  ├── conv2      | 1.206ms       | 5.502ms  | 366.144us      | 1.204ms   | 0 b     | 14.38 Mb  | 1.85GFLOPs   | 147.46K    | 1    
   │  │  ├── bn2        | 1.099ms       | 4.330ms  | 28.035us       | 74.760us  | 0 b     | 15.31 Mb  | 0 FLOPs      | 256.00     | 1    
   │  │  ├── conv3      | 1.157ms       | 5.459ms  | 217.917us      | 726.390us | 0 b     | 49.00 Mb  | 822.08MFLOPs | 65.54K     | 1    
   │  │  ├── bn3        | 1.091ms       | 4.244ms  | 104.736us      | 279.296us | 0 b     | 61.25 Mb  | 0 FLOPs      | 1.02K      | 1    
   │  │  ├── relu       | 3.214ms       | 9.504ms  | 148.035us      | 296.070us | 0 b     | 0 b       | 0 FLOPs      | 0          | 3    
   │  │  └── downsample |               |          |                |           |         |           |              |            |      
   │  │  │  ├── 0       | 1.157ms       | 5.107ms  | 515.319us      | 1.718ms   | 0 b     | 49.00 Mb  | 1.64GFLOPs   | 131.07K    | 1    
   │  │  │  └── 1       | 1.072ms       | 4.174ms  | 113.472us      | 302.592us | 0 b     | 61.25 Mb  | 0 FLOPs      | 1.02K      | 1    
   │  ├── 1             |               |          |                |           |         |           |              |            |      
   │  │  ├── conv1      | 1.095ms       | 5.125ms  | 252.582us      | 841.940us | 0 b     | 14.38 Mb  | 822.08MFLOPs | 65.54K     | 1    
   │  │  ├── bn1        | 1.075ms       | 4.237ms  | 28.128us       | 75.008us  | 0 b     | 15.31 Mb  | 0 FLOPs      | 256.00     | 1    
   │  │  ├── conv2      | 1.197ms       | 5.440ms  | 346.866us      | 1.149ms   | 0 b     | 14.38 Mb  | 1.85GFLOPs   | 147.46K    | 1    
   │  │  ├── bn2        | 1.203ms       | 4.747ms  | 27.840us       | 74.240us  | 0 b     | 15.31 Mb  | 0 FLOPs      | 256.00     | 1    
   │  │  ├── conv3      | 1.148ms       | 5.360ms  | 245.469us      | 818.230us | 0 b     | 49.00 Mb  | 822.08MFLOPs | 65.54K     | 1    
   │  │  ├── bn3        | 1.038ms       | 4.035ms  | 94.272us       | 251.392us | 0 b     | 61.25 Mb  | 0 FLOPs      | 1.02K      | 1    
   │  │  └── relu       | 3.222ms       | 9.473ms  | 99.165us       | 198.330us | 0 b     | 0 b       | 0 FLOPs      | 0          | 3    
   │  ├── 2             |               |          |                |           |         |           |              |            |      
   │  │  ├── conv1      | 1.124ms       | 5.308ms  | 239.322us      | 797.740us | 0 b     | 14.38 Mb  | 822.08MFLOPs | 65.54K     | 1    
   │  │  ├── bn1        | 1.126ms       | 4.433ms  | 28.320us       | 75.520us  | 0 b     | 15.31 Mb  | 0 FLOPs      | 256.00     | 1    
   │  │  ├── conv2      | 1.235ms       | 5.636ms  | 321.888us      | 1.065ms   | 0 b     | 14.38 Mb  | 1.85GFLOPs   | 147.46K    | 1    
   │  │  ├── bn2        | 1.063ms       | 4.179ms  | 27.837us       | 74.232us  | 0 b     | 15.31 Mb  | 0 FLOPs      | 256.00     | 1    
   │  │  ├── conv3      | 1.210ms       | 5.643ms  | 240.465us      | 801.550us | 0 b     | 49.00 Mb  | 822.08MFLOPs | 65.54K     | 1    
   │  │  ├── bn3        | 1.116ms       | 4.316ms  | 96.288us       | 256.768us | 0 b     | 61.25 Mb  | 0 FLOPs      | 1.02K      | 1    
   │  │  └── relu       | 3.181ms       | 9.387ms  | 97.437us       | 194.874us | 0 b     | 0 b       | 0 FLOPs      | 0          | 3    
   │  └── 3             |               |          |                |           |         |           |              |            |      
   │  │  ├── conv1      | 1.204ms       | 5.708ms  | 230.697us      | 768.990us | 0 b     | 14.38 Mb  | 822.08MFLOPs | 65.54K     | 1    
   │  │  ├── bn1        | 1.135ms       | 4.471ms  | 28.224us       | 75.264us  | 0 b     | 15.31 Mb  | 0 FLOPs      | 256.00     | 1    
   │  │  ├── conv2      | 1.171ms       | 5.347ms  | 319.098us      | 1.056ms   | 0 b     | 14.38 Mb  | 1.85GFLOPs   | 147.46K    | 1    
   │  │  ├── bn2        | 1.135ms       | 4.477ms  | 28.608us       | 76.288us  | 0 b     | 15.31 Mb  | 0 FLOPs      | 256.00     | 1    
   │  │  ├── conv3      | 1.105ms       | 5.171ms  | 235.485us      | 784.950us | 0 b     | 49.00 Mb  | 822.08MFLOPs | 65.54K     | 1    
   │  │  ├── bn3        | 1.138ms       | 4.433ms  | 92.928us       | 247.808us | 0 b     | 61.25 Mb  | 0 FLOPs      | 1.02K      | 1    
   │  │  └── relu       | 3.345ms       | 9.892ms  | 99.552us       | 199.104us | 0 b     | 0 b       | 0 FLOPs      | 0          | 3    
   ├── layer3           |               |          |                |           |         |           |              |            |      
   │  ├── 0             |               |          |                |           |         |           |              |            |      
   │  │  ├── conv1      | 1.202ms       | 5.566ms  | 339.741us      | 1.132ms   | 0 b     | 24.50 Mb  | 1.64GFLOPs   | 131.07K    | 1    
   │  │  ├── bn1        | 1.139ms       | 4.480ms  | 48.093us       | 128.248us | 0 b     | 30.62 Mb  | 0 FLOPs      | 512.00     | 1    
   │  │  ├── conv2      | 1.228ms       | 5.514ms  | 409.617us      | 1.349ms   | 0 b     | 10.00 Mb  | 1.85GFLOPs   | 589.82K    | 1    
   │  │  ├── bn2        | 1.115ms       | 4.393ms  | 20.157us       | 53.752us  | 0 b     | 7.66 Mb   | 0 FLOPs      | 512.00     | 1    
   │  │  ├── conv3      | 1.171ms       | 5.527ms  | 216.294us      | 720.980us | 0 b     | 24.50 Mb  | 822.08MFLOPs | 262.14K    | 1    
   │  │  ├── bn3        | 1.086ms       | 4.275ms  | 56.640us       | 151.040us | 0 b     | 30.62 Mb  | 0 FLOPs      | 2.05K      | 1    
   │  │  ├── relu       | 3.213ms       | 9.498ms  | 76.797us       | 153.594us | 0 b     | 0 b       | 0 FLOPs      | 0          | 3    
   │  │  └── downsample |               |          |                |           |         |           |              |            |      
